What is B Tech (Bachelor of Technology)?,Bachelor of Technology (B.Tech) is a professional undergraduate engineering degree programme awarded to candidates after completion of four years of study in the field. This undergraduate programme is your gateway to a career in engineering.
What Eligibility Criteria for BTech?,"The basic eligibility requirement for admissions to any BTech programme is:
Candidates must have passed Class 10+2 exam from a recognised board with Physics, Chemistry and Mathematics as core subjects.
They must also have secured a minimum aggregate marks of 60% in the above subjects combined.
Please note that the BTech eligibility criteria would vary from institute to institute."
What can I do with a Bachelor of Technology or BTech?,"Candidates can make career in following fields after graduating from BTech such as Software Developer, Information Technology Consultant, Computer Forensic Analyst, Information Technology Business Analyst and Computer Network Architect."
What are the skills required for BE/BTech?,"Candidates are required to have below skills to perfrom well in their BE/BTech course. Have a look:
Ability to communicate - verbal and written
Familiarity with Industry Standards
Knowledge of the core subject
Teamwork
Creativity
Multi-disciplinary exposure
Application of the knowledge
Leadership Skills
Analytical & Creative thinking
Acquaintance with Computers & IT"
What are the different job profiles offered to a BTech graduate?,"BTech graduates are mostly hired in technical fields. Any candidate who has completed a BTech degree can get a job in almost all the sectors in India and they are also hired as consultants, subject matter experts, researchers, managers etc. (for more details refer table above)"
What is the best career option after B Tech in CSE?,"A BTech graduate from CSE can get numerous career options in the field of Data Analyst, Software developer, Networking Engineer, Database Administrator, Testing Engineer, Game Developer, and Information security specialist."
 Is BTech it a good choice?,"Yes, BTech is a good choice and course for students with creative and techincal minds. It also provides gives you great career opportunities."
What is the average salary of BTech engineer in India?,"As a fresher, a BTech graduate can earn an average minimum of Rs 15,000- Rs 30,000 per month. In other cases, the salary of a candidate depends upon the job profile also. If you work as a Project Engineer, Design Mechanical Engineer you can earn an average of 1.5- 8 lakhs annually."
What is the full form of BTech. What is the duration of the course?,BTech stands for Bachelor of technology. It is an undergraduate engineering degree awarded to a candidate. The duration of this degree course is four years
Is it possible to pursue regular B.Tech and diploma course at one time?,"Two regular courses can't be pursued together. One course should be regular and the other should be distance or short-term certificate course.
"
Which engineering branch has more scope?,"There is good scope to build your career in almost every branch of engineering. However, some of the popular branches are:
Computer Science Engineering, Electrical Engineering, Electronics and Communication Engineering, Civil Engineering, Mechanical Engineering                                                                                                      While selecting a branch, you should focus on what all you will study in a particular branch and choose a branch according to your interest and skills."
What is the scope of mechanical engineering?,"Mechanical engineers can look for job prospects in:

“Manufacturing firms”, “Private or public sector industries”, “Government departments such as CPWD, defense, PWD, posts and telegraphs”, “Other sectors such as electronics, chemicals, power plants, steel plants, agriculture, space research institutes, automobile and aeronautical as well as the railways, need mechanical engineers to design and maintain their machinery.”"
